ID,Store,Payment Method,Customer Type,Shopping Day,Amount Spent,Items Purchased,Time Spent (min),Spend per Item,Shopping Summary
1,MegaShop,Gift Card,New,Weekday,18.93,5,25.27,3.79,MegaShop | New Customer | Spent: $18.93
181,SuperMart,Credit Card,Loyal,Weekday,22.44,4,17.61,5.61,SuperMart | Loyal Customer | Spent: $22.44
182,GroceryWorld,Gift Card,Returning,Weekend,22.59,2,57.7,11.29,GroceryWorld | Returning Customer | Spent: $22.59
183,SuperMart,Mobile Payment,Returning,Weekday,24.38,2,59.0,12.19,SuperMart | Returning Customer | Spent: $24.38
184,QuickBuy,Gift Card,Returning,Weekend,29.79,1,33.85,29.79,QuickBuy | Returning Customer | Spent: $29.79
185,QuickBuy,Cash,Loyal,Weekday,33.75,0,29.83,0.0,QuickBuy | Loyal Customer | Spent: $33.75
186,MegaShop,Mobile Payment,New,Weekend,18.5,2,45.46,9.25,MegaShop | New Customer | Spent: $18.5
187,DiscountStore,Gift Card,Returning,Weekend,12.97,2,46.42,6.48,DiscountStore | Returning Customer | Spent: $12.97
188,SuperMart,Gift Card,New,Weekday,14.58,1,17.91,14.58,SuperMart | New Customer | Spent: $14.58
189,SuperMart,Cash,New,Weekday,20.13,5,22.1,4.03,SuperMart | New Customer | Spent: $20.13
190,GroceryWorld,Gift Card,New,Weekend,21.48,7,10.16,3.07,GroceryWorld | New Customer | Spent: $21.48
191,QuickBuy,Gift Card,New,Weekday,17.3,2,36.14,8.65,QuickBuy | New Customer | Spent: $17.3
192,DiscountStore,Cash,Returning,Weekend,12.04,2,40.0,6.02,DiscountStore | Returning Customer | Spent: $12.04
193,MegaShop,Mobile Payment,New,Weekday,20.44,2,9.75,10.22,MegaShop | New Customer | Spent: $20.44
194,QuickBuy,Gift Card,Returning,Weekday,26.81,1,23.17,26.81,QuickBuy | Returning Customer | Spent: $26.81
195,MegaShop,Gift Card,New,Weekday,30.95,2,9.79,15.48,MegaShop | New Customer | Spent: $30.95
196,GroceryWorld,Gift Card,New,Weekday,19.43,2,16.52,9.71,GroceryWorld | New Customer | Spent: $19.43
197,GroceryWorld,Credit Card,New,Weekend,20.87,5,38.27,4.17,GroceryWorld | New Customer | Spent: $20.87
198,SuperMart,Cash,New,Weekday,15.73,0,19.0,0.0,SuperMart | New Customer | Spent: $15.73
199,DiscountStore,Credit Card,Returning,Weekday,24.69,3,25.49,8.23,DiscountStore | Returning Customer | Spent: $24.69
200,MegaShop,Cash,Returning,Weekday,16.52,2,5.59,8.26,MegaShop | Returning Customer | Spent: $16.52
201,QuickBuy,Mobile Payment,Returning,Weekday,30.73,5,32.8,6.15,QuickBuy | Returning Customer | Spent: $30.73
202,GroceryWorld,Mobile Payment,Returning,Weekend,7.14,3,29.34,2.38,GroceryWorld | Returning Customer | Spent: $7.14
203,SuperMart,Gift Card,New,Weekend,21.4,5,19.07,4.28,SuperMart | New Customer | Spent: $21.4
204,SuperMart,Cash,Loyal,Weekday,28.01,6,27.16,4.67,SuperMart | Loyal Customer | Spent: $28.01
205,MegaShop,Mobile Payment,Returning,Weekend,26.84,3,32.7,8.95,MegaShop | Returning Customer | Spent: $26.84
206,GroceryWorld,Cash,Returning,Weekend,51.93,5,17.78,10.39,GroceryWorld | Returning Customer | Spent: $51.93
207,DiscountStore,Mobile Payment,New,Weekday,28.5,2,7.86,14.25,DiscountStore | New Customer | Spent: $28.5
208,GroceryWorld,Credit Card,New,Weekend,14.96,0,57.08,0.0,GroceryWorld | New Customer | Spent: $14.96
209,MegaShop,Mobile Payment,New,Weekday,24.05,6,20.5,4.01,MegaShop | New Customer | Spent: $24.05
210,MegaShop,Credit Card,New,Weekday,7.24,5,28.55,1.45,MegaShop | New Customer | Spent: $7.24
211,GroceryWorld,Mobile Payment,Returning,Weekend,24.19,3,45.16,8.06,GroceryWorld | Returning Customer | Spent: $24.19
212,MegaShop,Gift Card,Returning,Weekday,16.67,6,82.94,2.78,MegaShop | Returning Customer | Spent: $16.67
213,GroceryWorld,Credit Card,Returning,Weekend,34.15,3,11.33,11.38,GroceryWorld | Returning Customer | Spent: $34.15
214,QuickBuy,Mobile Payment,Returning,Weekend,19.5,1,36.75,19.5,QuickBuy | Returning Customer | Spent: $19.5
215,GroceryWorld,Gift Card,Loyal,Weekday,23.83,0,19.39,0.0,GroceryWorld | Loyal Customer | Spent: $23.83
216,GroceryWorld,Credit Card,Returning,Weekend,18.64,2,21.92,9.32,GroceryWorld | Returning Customer | Spent: $18.64
217,MegaShop,Gift Card,Loyal,Weekday,42.39,2,19.2,21.19,MegaShop | Loyal Customer | Spent: $42.39
218,MegaShop,Cash,New,Weekday,21.79,4,13.12,5.45,MegaShop | New Customer | Spent: $21.79
219,SuperMart,Cash,New,Weekend,43.33,5,29.38,8.67,SuperMart | New Customer | Spent: $43.33
220,SuperMart,Credit Card,New,Weekend,33.14,1,7.88,33.14,SuperMart | New Customer | Spent: $33.14
221,QuickBuy,Mobile Payment,Returning,Weekday,29.82,4,44.2,7.46,QuickBuy | Returning Customer | Spent: $29.82
222,SuperMart,Credit Card,Loyal,Weekday,28.69,3,30.83,9.56,SuperMart | Loyal Customer | Spent: $28.69
223,GroceryWorld,Gift Card,New,Weekend,28.94,2,36.34,14.47,GroceryWorld | New Customer | Spent: $28.94
224,MegaShop,Mobile Payment,Loyal,Weekend,5.72,3,23.01,1.91,MegaShop | Loyal Customer | Spent: $5.72
225,SuperMart,Cash,New,Weekend,22.21,2,24.49,11.11,SuperMart | New Customer | Spent: $22.21
226,SuperMart,Mobile Payment,Loyal,Weekday,33.45,3,34.31,11.15,SuperMart | Loyal Customer | Spent: $33.45
227,QuickBuy,Cash,New,Weekday,24.51,5,12.54,4.9,QuickBuy | New Customer | Spent: $24.51
228,QuickBuy,Mobile Payment,New,Weekday,10.95,2,24.63,5.47,QuickBuy | New Customer | Spent: $10.95
229,GroceryWorld,Mobile Payment,Returning,Weekend,24.48,5,17.11,4.9,GroceryWorld | Returning Customer | Spent: $24.48
230,MegaShop,Mobile Payment,New,Weekday,42.04,1,16.64,42.04,MegaShop | New Customer | Spent: $42.04
231,QuickBuy,Gift Card,New,Weekday,37.47,0,-1.65,0.0,QuickBuy | New Customer | Spent: $37.47
232,SuperMart,Gift Card,New,Weekend,24.38,4,50.09,6.09,SuperMart | New Customer | Spent: $24.38
